time,1st_sensor,2nd_sensor,3rd_sensor,4th_sensor,recordingID
2021-09-30T10:27:53.047Z,52,28,46,138,2
2021-09-30T10:27:53.558Z,62,26,68,112,2
2021-09-30T10:27:54.581Z,40,48,44,106,2
2021-09-30T10:27:55.711Z,38,56,32,114,2
2021-09-30T10:27:56.221Z,42,50,28,126,2
2021-09-30T10:27:56.628Z,40,30,32,120,2
2021-09-30T10:27:57.256Z,36,24,26,130,2
2021-09-30T10:27:57.754Z,56,28,32,112,2
2021-09-30T10:27:58.266Z,40,24,18,116,2
2021-09-30T10:27:58.883Z,36,26,24,124,2
2021-09-30T10:27:59.290Z,48,30,22,140,2
2021-09-30T10:28:00.416Z,50,28,138,524,2
2021-09-30T10:28:00.929Z,172,36,472,600,2
2021-09-30T10:28:01.541Z,244,326,1024,322,2
2021-09-30T10:28:02.052Z,200,486,588,160,2
2021-09-30T10:28:02.564Z,96,372,270,436,2
2021-09-30T10:28:03.586Z,336,100,1024,272,2
2021-09-30T10:28:04.099Z,242,600,660,204,2
2021-09-30T10:28:04.723Z,138,328,416,306,2
2021-09-30T10:28:05.134Z,228,244,258,190,2
2021-09-30T10:28:05.737Z,240,598,1024,290,2
2021-09-30T10:28:06.249Z,212,364,1006,114,2
2021-09-30T10:28:06.658Z,110,246,450,210,2
2021-09-30T10:28:07.271Z,186,180,410,200,2
2021-09-30T10:28:07.908Z,314,304,1024,218,2
2021-09-30T10:28:08.501Z,218,464,752,152,2
2021-09-30T10:28:08.909Z,156,158,360,216,2
2021-09-30T10:28:09.421Z,90,118,676,326,2
2021-09-30T10:28:09.941Z,188,230,1024,440,2
2021-09-30T10:28:10.648Z,296,344,728,266,2
2021-09-30T10:28:11.265Z,128,420,468,126,2
2021-09-30T10:28:11.874Z,52,46,96,118,2
2021-09-30T10:28:12.286Z,44,28,32,110,2
2021-09-30T10:28:12.899Z,42,12,44,114,2
2021-09-30T10:28:13.312Z,48,28,54,104,2
2021-09-30T10:28:13.924Z,44,34,22,124,2
2021-09-30T10:28:14.338Z,90,32,26,114,2
2021-09-30T10:28:14.946Z,44,28,36,106,2
2021-09-30T10:28:15.593Z,46,32,30,114,2
2021-09-30T10:28:16.180Z,42,28,28,114,2
2021-09-30T10:28:17.143Z,46,26,30,122,2
2021-09-30T10:28:17.608Z,52,28,16,126,2
2021-09-30T10:28:18.223Z,40,28,12,198,2
2021-09-30T10:28:19.258Z,84,40,22,114,2
2021-09-30T10:28:20.271Z,48,26,18,118,2
2021-09-30T10:28:20.881Z,44,26,16,120,2
2021-09-30T10:28:21.291Z,46,232,22,130,2
2021-09-30T10:28:21.905Z,44,396,56,334,2
2021-09-30T10:28:22.519Z,112,312,16,428,2
2021-09-30T10:28:22.932Z,180,368,300,330,2
2021-09-30T10:28:23.542Z,240,470,1024,268,2
2021-09-30T10:28:24.162Z,136,386,904,296,2
2021-09-30T10:28:25.182Z,166,70,324,380,2
2021-09-30T10:28:25.589Z,294,52,1024,172,2
2021-09-30T10:28:26.410Z,138,280,846,200,2
2021-09-30T10:28:26.923Z,336,306,604,590,2
2021-09-30T10:28:27.329Z,190,476,302,656,2
2021-09-30T10:28:27.946Z,120,44,654,146,2
2021-09-30T10:28:28.354Z,244,830,1024,246,2
2021-09-30T10:28:28.968Z,188,380,302,326,2
2021-09-30T10:28:29.584Z,108,96,262,128,2
2021-09-30T10:28:30.603Z,186,66,1024,228,2
2021-09-30T10:28:31.017Z,304,370,772,300,2
2021-09-30T10:28:31.627Z,288,372,280,284,2
2021-09-30T10:28:32.239Z,82,32,506,126,2
2021-09-30T10:28:32.650Z,48,30,1024,128,2
2021-09-30T10:28:33.468Z,44,32,902,110,2
2021-09-30T10:28:34.493Z,42,28,86,122,2
2021-09-30T10:28:34.904Z,48,26,56,102,2
2021-09-30T10:28:35.519Z,50,32,110,106,2
2021-09-30T10:28:36.130Z,46,28,42,102,2
2021-09-30T10:28:37.155Z,48,48,18,106,2
2021-09-30T10:28:38.176Z,32,28,24,102,2
2021-09-30T10:28:38.690Z,48,34,32,108,2
2021-09-30T10:28:39.203Z,44,28,34,104,2
2021-09-30T10:28:39.813Z,46,26,8,90,2
2021-09-30T10:28:40.329Z,74,30,24,104,2
2021-09-30T10:28:40.837Z,42,28,22,100,2
2021-09-30T10:28:41.353Z,48,30,28,102,2
2021-09-30T10:28:41.860Z,230,26,38,104,2
2021-09-30T10:28:42.279Z,236,28,26,104,2
2021-09-30T10:28:43.497Z,312,448,14,102,2
2021-09-30T10:28:44.521Z,92,440,62,154,2
2021-09-30T10:28:44.931Z,216,446,324,280,2
2021-09-30T10:28:45.584Z,288,94,1024,224,2
2021-09-30T10:28:46.159Z,140,130,862,146,2
2021-09-30T10:28:46.773Z,320,456,438,880,2
2021-09-30T10:28:47.385Z,250,122,274,116,2
2021-09-30T10:28:48.425Z,272,394,968,278,2
2021-09-30T10:28:49.023Z,140,634,346,252,2
2021-09-30T10:28:50.045Z,250,158,990,202,2
2021-09-30T10:28:51.071Z,102,68,602,200,2
2021-09-30T10:28:52.094Z,74,290,460,412,2
2021-09-30T10:28:53.118Z,224,462,802,176,2
2021-09-30T10:28:53.731Z,268,66,474,198,2
2021-09-30T10:28:54.346Z,180,286,398,226,2
2021-09-30T10:28:54.761Z,92,488,552,170,2
2021-09-30T10:28:55.367Z,70,364,1024,250,2
2021-09-30T10:28:55.793Z,50,50,434,126,2
2021-09-30T10:28:56.390Z,38,26,192,144,2
2021-09-30T10:28:56.802Z,44,40,142,118,2
2021-09-30T10:28:57.418Z,50,28,72,114,2
2021-09-30T10:28:58.029Z,42,30,28,94,2
2021-09-30T10:33:30.031Z,48,40,72,94,2
2021-09-30T10:33:31.057Z,46,26,16,82,2
2021-09-30T10:33:31.566Z,52,30,6,76,2
2021-09-30T10:33:32.075Z,46,28,22,78,2
2021-09-30T10:33:32.590Z,48,24,14,82,2
2021-09-30T10:33:33.200Z,56,28,16,86,2
2021-09-30T10:33:33.712Z,58,32,26,82,2
2021-09-30T10:33:34.225Z,42,28,16,88,2
2021-09-30T10:33:34.739Z,50,42,12,82,2
2021-09-30T10:33:35.248Z,48,28,24,84,2
2021-09-30T10:33:36.280Z,42,28,30,84,2
2021-09-30T10:33:37.297Z,48,26,44,74,2
2021-09-30T10:33:37.912Z,50,28,22,80,2
2021-09-30T10:33:38.424Z,58,30,38,82,2
2021-09-30T10:33:39.450Z,50,28,28,78,2
2021-09-30T10:33:39.957Z,44,30,24,88,2
2021-09-30T10:33:40.469Z,46,28,22,84,2
2021-09-30T10:33:40.877Z,42,26,26,90,2
2021-09-30T10:33:41.490Z,40,68,30,104,2
2021-09-30T10:33:41.900Z,56,28,18,92,2
2021-09-30T10:33:42.515Z,50,32,68,78,2
2021-09-30T10:33:42.924Z,48,26,24,92,2
2021-09-30T10:33:43.646Z,46,28,30,84,2
2021-09-30T10:33:44.156Z,48,30,14,80,2
2021-09-30T10:33:44.560Z,48,26,20,88,2
2021-09-30T10:33:45.175Z,54,28,40,82,2
2021-09-30T10:33:46.196Z,48,24,26,84,2
2021-09-30T10:33:46.719Z,46,28,14,82,2
