time,1st_sensor,2nd_sensor,3rd_sensor,4th_sensor,recordingID
2021-09-30T10:27:53.047Z,46,138,52,28,1
2021-09-30T10:27:53.558Z,68,112,62,26,1
2021-09-30T10:27:54.581Z,44,106,40,48,1
2021-09-30T10:27:55.711Z,32,114,38,56,1
2021-09-30T10:27:56.221Z,28,126,42,50,1
2021-09-30T10:27:56.628Z,32,120,40,30,1
2021-09-30T10:27:57.256Z,26,130,36,24,1
2021-09-30T10:27:57.754Z,32,112,56,28,1
2021-09-30T10:27:58.266Z,18,116,40,24,1
2021-09-30T10:27:58.883Z,24,124,36,26,1
2021-09-30T10:27:59.290Z,22,140,48,30,1
2021-09-30T10:28:00.416Z,138,524,50,28,1
2021-09-30T10:28:00.929Z,472,600,172,36,1
2021-09-30T10:28:01.541Z,1024,322,244,326,1
2021-09-30T10:28:02.052Z,588,160,200,486,1
2021-09-30T10:28:02.564Z,270,436,96,372,1
2021-09-30T10:28:03.586Z,1024,272,336,100,1
2021-09-30T10:28:04.099Z,660,204,242,600,1
2021-09-30T10:28:04.723Z,416,306,138,328,1
2021-09-30T10:28:05.134Z,258,190,228,244,1
2021-09-30T10:28:05.737Z,1024,290,240,598,1
2021-09-30T10:28:06.249Z,1006,114,212,364,1
2021-09-30T10:28:06.658Z,450,210,110,246,1
2021-09-30T10:28:07.271Z,410,200,186,180,1
2021-09-30T10:28:07.908Z,1024,218,314,304,1
2021-09-30T10:28:08.501Z,752,152,218,464,1
2021-09-30T10:28:08.909Z,360,216,156,158,1
2021-09-30T10:28:09.421Z,676,326,90,118,1
2021-09-30T10:28:09.941Z,1024,440,188,230,1
2021-09-30T10:28:10.648Z,728,266,296,344,1
2021-09-30T10:28:11.265Z,468,126,128,420,1
2021-09-30T10:28:11.874Z,96,118,52,46,1
2021-09-30T10:28:12.286Z,32,110,44,28,1
2021-09-30T10:28:12.899Z,44,114,42,12,1
2021-09-30T10:28:13.312Z,54,104,48,28,1
2021-09-30T10:28:13.924Z,22,124,44,34,1
2021-09-30T10:28:14.338Z,26,114,90,32,1
2021-09-30T10:28:14.946Z,36,106,44,28,1
2021-09-30T10:28:15.593Z,30,114,46,32,1
2021-09-30T10:28:16.180Z,28,114,42,28,1
2021-09-30T10:28:17.143Z,30,122,46,26,1
2021-09-30T10:28:17.608Z,16,126,52,28,1
2021-09-30T10:28:18.223Z,12,198,40,28,1
2021-09-30T10:28:19.258Z,22,114,84,40,1
2021-09-30T10:28:20.271Z,18,118,48,26,1
2021-09-30T10:28:20.881Z,16,120,44,26,1
2021-09-30T10:28:21.291Z,22,130,46,232,1
2021-09-30T10:28:21.905Z,56,334,44,396,1
2021-09-30T10:28:22.519Z,16,428,112,312,1
2021-09-30T10:28:22.932Z,300,330,180,368,1
2021-09-30T10:28:23.542Z,1024,268,240,470,1
2021-09-30T10:28:24.162Z,904,296,136,386,1
2021-09-30T10:28:25.182Z,324,380,166,70,1
2021-09-30T10:28:25.589Z,1024,172,294,52,1
2021-09-30T10:28:26.410Z,846,200,138,280,1
2021-09-30T10:28:26.923Z,604,590,336,306,1
2021-09-30T10:28:27.329Z,302,656,190,476,1
2021-09-30T10:28:27.946Z,654,146,120,44,1
2021-09-30T10:28:28.354Z,1024,246,244,830,1
2021-09-30T10:28:28.968Z,302,326,188,380,1
2021-09-30T10:28:29.584Z,262,128,108,96,1
2021-09-30T10:28:30.603Z,1024,228,186,66,1
2021-09-30T10:28:31.017Z,772,300,304,370,1
2021-09-30T10:28:31.627Z,280,284,288,372,1
2021-09-30T10:28:32.239Z,506,126,82,32,1
2021-09-30T10:28:32.650Z,1024,128,48,30,1
2021-09-30T10:28:33.468Z,902,110,44,32,1
2021-09-30T10:28:34.493Z,86,122,42,28,1
2021-09-30T10:28:34.904Z,56,102,48,26,1
2021-09-30T10:28:35.519Z,110,106,50,32,1
2021-09-30T10:28:36.130Z,42,102,46,28,1
2021-09-30T10:28:37.155Z,18,106,48,48,1
2021-09-30T10:28:38.176Z,24,102,32,28,1
2021-09-30T10:28:38.690Z,32,108,48,34,1
2021-09-30T10:28:39.203Z,34,104,44,28,1
2021-09-30T10:28:39.813Z,8,90,46,26,1
2021-09-30T10:28:40.329Z,24,104,74,30,1
2021-09-30T10:28:40.837Z,22,100,42,28,1
2021-09-30T10:28:41.353Z,28,102,48,30,1
2021-09-30T10:28:41.860Z,38,104,230,26,1
2021-09-30T10:28:42.279Z,26,104,236,28,1
2021-09-30T10:28:43.497Z,14,102,312,448,1
2021-09-30T10:28:44.521Z,62,154,92,440,1
