time,1st_sensor,2nd_sensor,3rd_sensor,4th_sensor,recordingID
2021-09-30T10:33:38.424Z,30,58,82,38,3
2021-09-30T10:33:39.450Z,28,50,78,28,3
2021-09-30T10:33:39.957Z,30,44,88,24,3
2021-09-30T10:33:40.469Z,28,46,84,22,3
2021-09-30T10:33:40.877Z,26,42,90,26,3
2021-09-30T10:33:41.490Z,68,40,104,30,3
2021-09-30T10:33:41.900Z,28,56,92,18,3
2021-09-30T10:33:42.515Z,32,50,78,68,3
2021-09-30T10:33:42.924Z,26,48,92,24,3
2021-09-30T10:33:43.646Z,28,46,84,30,3
2021-09-30T10:33:44.156Z,30,48,80,14,3
2021-09-30T10:33:44.560Z,26,48,88,20,3
2021-09-30T10:33:45.175Z,28,54,82,40,3
2021-09-30T10:33:46.196Z,24,48,84,26,3
2021-09-30T10:33:46.719Z,28,46,82,14,3
2021-09-30T10:33:47.126Z,30,52,86,22,3
2021-09-30T10:33:47.835Z,28,46,86,18,3
2021-09-30T10:33:48.346Z,30,54,86,26,3
2021-09-30T10:33:48.756Z,28,52,84,20,3
2021-09-30T10:33:49.372Z,26,50,80,24,3
2021-09-30T10:33:49.789Z,28,58,82,36,3
2021-09-30T10:33:50.393Z,42,68,136,46,3
2021-09-30T10:33:50.803Z,40,52,84,18,3
2021-09-30T10:33:51.416Z,38,50,86,22,3
2021-09-30T10:33:52.045Z,32,50,84,18,3
2021-09-30T10:33:53.057Z,30,46,82,16,3
2021-09-30T10:33:54.076Z,28,50,84,26,3
2021-09-30T10:33:55.101Z,26,56,80,14,3
2021-09-30T10:33:56.124Z,30,50,84,12,3
2021-09-30T10:33:56.738Z,28,46,84,14,3
2021-09-30T10:33:57.162Z,26,50,84,12,3
2021-09-30T10:33:58.375Z,28,50,92,10,3
2021-09-30T10:33:58.794Z,78,48,82,16,3
2021-09-30T10:33:59.398Z,24,46,84,22,3
2021-09-30T10:33:59.808Z,28,48,88,36,3
2021-09-30T10:34:00.422Z,26,72,82,38,3
2021-09-30T10:34:00.831Z,28,38,84,78,3
2021-09-30T10:34:01.446Z,30,40,82,26,3
2021-09-30T10:34:02.059Z,32,50,88,46,3
2021-09-30T10:34:03.086Z,28,58,82,20,3
2021-09-30T10:34:04.106Z,46,44,84,18,3
2021-09-30T10:34:05.028Z,24,76,86,22,3
2021-09-30T10:34:05.648Z,28,46,86,20,3
2021-09-30T10:34:06.255Z,30,44,82,26,3
2021-09-30T10:34:07.278Z,46,42,80,12,3
2021-09-30T10:34:08.302Z,24,48,82,12,3
2021-09-30T10:34:08.916Z,28,58,90,10,3
2021-09-30T10:34:09.326Z,26,62,96,26,3
2021-09-30T10:34:09.952Z,34,80,106,128,3
2021-09-30T10:34:10.360Z,26,78,98,48,3
2021-09-30T10:34:10.963Z,32,60,106,72,3
2021-09-30T10:34:11.379Z,20,50,88,38,3
2021-09-30T10:34:12.497Z,32,42,92,162,3
2021-09-30T10:34:12.909Z,28,46,100,64,3
2021-09-30T10:34:13.525Z,28,46,116,20,3
2021-09-30T10:34:14.033Z,26,50,84,18,3
2021-09-30T10:35:03.982Z,22,66,88,18,3
2021-09-30T10:35:04.492Z,28,42,82,14,3
2021-09-30T10:35:04.995Z,34,60,94,20,3
2021-09-30T10:35:05.610Z,26,84,144,26,3
2021-09-30T10:35:06.122Z,24,252,132,30,3
2021-09-30T10:35:06.634Z,28,246,136,84,3
2021-09-30T10:35:07.144Z,26,262,216,358,3
2021-09-30T10:35:07.666Z,90,142,142,382,3
2021-09-30T10:35:08.170Z,434,272,122,184,3
2021-09-30T10:35:08.686Z,326,314,160,266,3
2021-09-30T10:35:09.191Z,686,148,112,198,3
2021-09-30T10:35:10.217Z,130,202,144,188,3
2021-09-30T10:35:10.828Z,1024,182,228,422,3
2021-09-30T10:35:11.340Z,712,144,118,144,3
2021-09-30T10:35:12.363Z,212,376,216,342,3
2021-09-30T10:35:12.877Z,1024,434,148,406,3
2021-09-30T10:35:13.385Z,1022,216,166,234,3
2021-09-30T10:35:13.898Z,216,212,140,396,3
2021-09-30T10:35:14.512Z,1024,296,152,214,3
2021-09-30T10:35:14.921Z,426,890,198,356,3
2021-09-30T10:35:15.575Z,250,256,162,494,3
2021-09-30T10:35:16.048Z,1024,138,140,508,3
2021-09-30T10:35:16.564Z,418,70,112,252,3
2021-09-30T10:35:17.071Z,566,74,108,296,3
2021-09-30T10:35:18.195Z,92,90,110,148,3
2021-09-30T10:35:19.224Z,60,82,104,38,3
2021-09-30T10:35:19.731Z,26,74,98,28,3
2021-09-30T10:35:20.250Z,28,62,86,38,3
